primitive,backend,detail,calls_per_query_note,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
bilinear_pairing,py_arkworks_bls12381,BLS12-381,2 per ABSE.Test,200,1.009794620000548,0.9985809998624973,0.036816040467387554,0.005102442886701905,0.9563009998601046,1.110482000058255,"[1.08845, 0.978128, 0.988999, 0.984394, 1.087571, 1.003977, 0.981506, 0.970464, 1.107652, 1.00126, 0.980184, 1.006723, 1.078096, 0.960184, 0.997026, 0.978215, 1.083913, 0.97795, 1.025458, 1.022182, 0.993252, 0.999339, 0.971347, 1.031401, 1.061789, 0.963148, 0.971107, 1.004677, 1.08094, 0.983136, 1.002243, 1.020173, 1.029429, 1.003741, 0.977911, 1.01755, 1.058694, 1.003419, 1.003197, 1.016736, 0.997596, 0.978423, 0.99702, 1.023794, 1.040029, 0.974886, 0.988066, 1.00842, 0.994471, 0.974189, 0.976898, 1.037528, 1.033588, 0.999831, 0.97621, 1.039807, 1.020156, 0.99309, 0.983968, 1.032098, 1.026106, 0.997572, 0.995018, 1.064333, 1.0123, 0.984712, 0.982184, 1.065732, 1.023892, 0.975962, 1.002729, 1.074956, 0.986433, 0.993691, 0.981914, 1.071007, 0.987643, 0.998056, 1.003089, 1.018577, 0.979988, 0.986842, 0.991232, 1.096007, 1.002827, 0.977711, 0.972102, 1.099085, 0.990838, 0.980274, 0.982948, 1.110482, 0.982841, 0.976086, 1.000402, 1.016569, 0.970194, 1.042472, 1.010332, 1.015815, 0.999986, 0.971329, 1.004371, 1.065253, 0.975084, 0.99872, 0.97236, 1.101056, 1.002457, 0.978069, 0.983325, 1.083875, 0.976691, 1.022988, 0.979407, 1.090257, 0.98946, 0.986786, 0.985608, 1.078728, 0.956301, 0.988676, 0.976428, 1.008052, 0.985744, 1.003666, 0.978031, 1.090928, 0.994218, 0.971255, 1.000994, 1.080271, 0.99157, 1.00284, 1.003921, 1.042631, 1.00142, 0.974914, 1.009183, 1.09895, 0.983369, 0.987736, 1.024116, 1.045603, 0.981693, 0.99654, 1.030327, 1.061305, 0.98284, 0.994688, 1.031316, 1.03859, 0.976602, 0.997779, 1.041436, 1.012495, 0.997537, 1.028673, 1.007829, 1.001077, 0.984034, 1.004565, 1.019582, 0.998442, 0.995637, 0.97461, 1.072345, 0.998812, 0.968737, 0.990635, 1.055329, 0.996697, 0.983212, 1.002252, 1.071956, 1.000317, 0.97748, 0.978782, 1.071728, 1.008866, 0.985694, 0.967726, 1.088837, 0.982904, 0.970784, 1.003556, 1.072121, 0.992053, 0.972908, 0.998296, 1.089047, 0.997116, 0.97456, 0.997576, 1.075366, 0.968655, 0.993308, 0.97464, 1.092858, 0.982965]",2026-08-16T18:26:12+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
abse_test,py_arkworks_bls12381,single Test call (match=True),N_u * m_c per query (exhaustive match),200,2.4822646300117412,2.488577000008263,0.04561103615388867,0.006321367100426455,2.3992600001747633,2.6377049998700386,"[2.526616, 2.417624, 2.547629, 2.502496, 2.433854, 2.485281, 2.420342, 2.53981, 2.539658, 2.436841, 2.519823, 2.504719, 2.446303, 2.558262, 2.417489, 2.53482, 2.511735, 2.462001, 2.450691, 2.450976, 2.499391, 2.566754, 2.409938, 2.541002, 2.529384, 2.417298, 2.532073, 2.472594, 2.461509, 2.547185, 2.410331, 2.483127, 2.463722, 2.48279, 2.51573, 2.415305, 2.525115, 2.514592, 2.441941, 2.502389, 2.502476, 2.480932, 2.509468, 2.418596, 2.522037, 2.531195, 2.430524, 2.497875, 2.496022, 2.489201, 2.475564, 2.414706, 2.521278, 2.535029, 2.419897, 2.531515, 2.468028, 2.47492, 2.514097, 2.39926, 2.514534, 2.470928, 2.429995, 2.454321, 2.423399, 2.505245, 2.453016, 2.431948, 2.504308, 2.471785, 2.499768, 2.529671, 2.427232, 2.513848, 2.536848, 2.437671, 2.49654, 2.431159, 2.48704, 2.541174, 2.405497, 2.446743, 2.510615, 2.447384, 2.525898, 2.413635, 2.552589, 2.536678, 2.429839, 2.540976, 2.494423, 2.443162, 2.54365, 2.423927, 2.536824, 2.52707, 2.425636, 2.508976, 2.503317, 2.424868, 2.535507, 2.426508, 2.514171, 2.458149, 2.433157, 2.521402, 2.438682, 2.504239, 2.526821, 2.421587, 2.546521, 2.491889, 2.435714, 2.466427, 2.420352, 2.505684, 2.467203, 2.426036, 2.567172, 2.485458, 2.47502, 2.527266, 2.410914, 2.511813, 2.520895, 2.417015, 2.484207, 2.456572, 2.440889, 2.451494, 2.422035, 2.499896, 2.532009, 2.418677, 2.4545, 2.411911, 2.464988, 2.528591, 2.546758, 2.519041, 2.504162, 2.490014, 2.53363, 2.416788, 2.539873, 2.497378, 2.489843, 2.449439, 2.487953, 2.467339, 2.520562, 2.4248, 2.5207, 2.496755, 2.438298, 2.446314, 2.458305, 2.500202, 2.566855, 2.418584, 2.532857, 2.50601, 2.637705, 2.491549, 2.452317, 2.486201, 2.527516, 2.42492, 2.544653, 2.499472, 2.49149, 2.474304, 2.43963, 2.489914, 2.559726, 2.414437, 2.518481, 2.438964, 2.458236, 2.476494, 2.408551, 2.53226, 2.540676, 2.4387, 2.509841, 2.460444, 2.507776, 2.470234, 2.423547, 2.514303, 2.519073, 2.427228, 2.45832, 2.450528, 2.506662, 2.502231, 2.412407, 2.504236, 2.523137, 2.449035]",2026-08-16T18:26:12+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
abse_tokengen,py_arkworks_bls12381,single TokenGen call,m_c per trapdoor (Experiment 01),200,0.700718235000295,0.6976809999059697,0.03439915968371896,0.004767480299577408,0.6372819998432533,0.8252920001723396,"[0.667464, 0.656186, 0.724223, 0.758722, 0.661639, 0.705543, 0.689367, 0.696554, 0.70411, 0.703258, 0.714664, 0.696163, 0.689692, 0.730168, 0.759774, 0.676888, 0.747748, 0.715128, 0.669143, 0.725041, 0.754843, 0.70686, 0.697866, 0.7156, 0.714104, 0.768951, 0.713087, 0.654987, 0.683298, 0.728259, 0.670444, 0.696695, 0.680919, 0.697496, 0.66824, 0.686183, 0.766553, 0.721135, 0.703016, 0.667133, 0.683624, 0.637282, 0.8139, 0.754185, 0.7065, 0.7058, 0.697871, 0.709199, 0.702904, 0.694518, 0.668733, 0.688011, 0.70744, 0.701109, 0.715616, 0.703652, 0.643601, 0.709568, 0.713088, 0.693501, 0.688841, 0.712269, 0.674079, 0.680654, 0.689501, 0.752368, 0.716059, 0.655396, 0.716807, 0.700685, 0.756817, 0.754491, 0.671831, 0.665034, 0.672708, 0.723698, 0.713818, 0.734542, 0.678997, 0.647665, 0.728464, 0.662976, 0.754531, 0.672535, 0.653069, 0.683917, 0.706653, 0.671621, 0.704287, 0.723454, 0.6903, 0.686235, 0.65517, 0.720836, 0.770564, 0.709408, 0.684445, 0.67183, 0.703358, 0.77267, 0.765709, 0.678766, 0.74941, 0.685281, 0.66311, 0.825292, 0.676464, 0.683068, 0.697427, 0.678004, 0.727769, 0.721336, 0.653124, 0.677233, 0.68657, 0.677292, 0.740826, 0.730628, 0.67422, 0.670012, 0.683293, 0.679431, 0.748546, 0.722513, 0.704498, 0.674501, 0.65925, 0.673152, 0.723587, 0.700792, 0.706063, 0.651116, 0.662471, 0.69957, 0.757094, 0.676583, 0.656318, 0.692419, 0.689964, 0.759176, 0.740023, 0.673899, 0.717979, 0.701564, 0.671161, 0.7036, 0.670777, 0.675433, 0.656658, 0.659544, 0.644969, 0.707232, 0.71969, 0.694762, 0.668079, 0.719731, 0.67922, 0.765928, 0.670904, 0.700274, 0.724462, 0.661204, 0.734465, 0.727409, 0.68391, 0.70019, 0.64857, 0.694251, 0.791055, 0.708264, 0.670025, 0.745129, 0.688545, 0.693707, 0.690437, 0.709868, 0.669063, 0.723175, 0.715187, 0.700028, 0.78505, 0.685978, 0.638118, 0.683997, 0.661457, 0.754301, 0.716592, 0.682061, 0.727811, 0.656392, 0.648773, 0.788035, 0.690663, 0.668989, 0.693212, 0.653264, 0.707502, 0.704744, 0.713883, 0.710747]",2026-08-16T18:26:12+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
merkle_verify_single,sha256,"N=10,000 leaves, single-leaf proof",r per query if naive; shared in multiproof,200,0.008050264998473722,0.0076674999718306935,0.0013032006975938835,0.00018061440190107213,0.00756800000090152,0.019787000155702117,"[0.007885, 0.0078, 0.007645, 0.007698, 0.007695, 0.007647, 0.007686, 0.007672, 0.007647, 0.007672, 0.007654, 0.007658, 0.007592, 0.007654, 0.007609, 0.007619, 0.007647, 0.00761, 0.007685, 0.007725, 0.016616, 0.007895, 0.007757, 0.007679, 0.007675, 0.007726, 0.00765, 0.007656, 0.007568, 0.007671, 0.007708, 0.007691, 0.007711, 0.007658, 0.007641, 0.007686, 0.007748, 0.007743, 0.007644, 0.007665, 0.007617, 0.007696, 0.007679, 0.007614, 0.007665, 0.007653, 0.00764, 0.007624, 0.007579, 0.007616, 0.007643, 0.007643, 0.007791, 0.007709, 0.007699, 0.00763, 0.007672, 0.007601, 0.007625, 0.007701, 0.007678, 0.007668, 0.007609, 0.007676, 0.007643, 0.007722, 0.007684, 0.007652, 0.007687, 0.007618, 0.007628, 0.007653, 0.007699, 0.007648, 0.007687, 0.007665, 0.00765, 0.007688, 0.007667, 0.007678, 0.007652, 0.007661, 0.007641, 0.007616, 0.007646, 0.007661, 0.007625, 0.007611, 0.007635, 0.007594, 0.007617, 0.007658, 0.007671, 0.007763, 0.007664, 0.007636, 0.007638, 0.007657, 0.007657, 0.007719, 0.007693, 0.007653, 0.007619, 0.00765, 0.00763, 0.007636, 0.007614, 0.0076, 0.007662, 0.00764, 0.007663, 0.007682, 0.00782, 0.007776, 0.007642, 0.007625, 0.007675, 0.00763, 0.007743, 0.007634, 0.007582, 0.00765, 0.007615, 0.007616, 0.007647, 0.007662, 0.007609, 0.007665, 0.007626, 0.007742, 0.007699, 0.007638, 0.007683, 0.007631, 0.00773, 0.00761, 0.007614, 0.007641, 0.007649, 0.007841, 0.009004, 0.009022, 0.016062, 0.009361, 0.009105, 0.008991, 0.019787, 0.009255, 0.009095, 0.009208, 0.009226, 0.009129, 0.009209, 0.009195, 0.009388, 0.007656, 0.007612, 0.007595, 0.00764, 0.007724, 0.007674, 0.007691, 0.007622, 0.007624, 0.007628, 0.007643, 0.007698, 0.007637, 0.007672, 0.007676, 0.007676, 0.007631, 0.007688, 0.007712, 0.007627, 0.007688, 0.007654, 0.007734, 0.007628, 0.0077, 0.008261, 0.009131, 0.009213, 0.00902, 0.009121, 0.009096, 0.009083, 0.009033, 0.009073, 0.009137, 0.009214, 0.00907, 0.00913, 0.009041, 0.00914, 0.009154, 0.009177, 0.00899, 0.009079, 0.009179]",2026-08-16T18:26:12+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
sha256,hashlib,64-byte input,~r*log(N/r) in the multiproof,200,0.00041736498815225787,0.00040899999476096127,3.071969996344811e-05,4.257533199393378e-06,0.00039199994716909714,0.0006899999789311551,"[0.000599, 0.00069, 0.000483, 0.000451, 0.00042, 0.000519, 0.000445, 0.000427, 0.00043, 0.000434, 0.000406, 0.000433, 0.000414, 0.000416, 0.000414, 0.000416, 0.000405, 0.000431, 0.000437, 0.000411, 0.000413, 0.000414, 0.000414, 0.00041, 0.000432, 0.000418, 0.000405, 0.000415, 0.000412, 0.000418, 0.000439, 0.000417, 0.00041, 0.000436, 0.000415, 0.000408, 0.000411, 0.000419, 0.000409, 0.000414, 0.000429, 0.000414, 0.000408, 0.000415, 0.000408, 0.000408, 0.000408, 0.000408, 0.00043, 0.000411, 0.000427, 0.00041, 0.000532, 0.000472, 0.000433, 0.000405, 0.000408, 0.000423, 0.000437, 0.000424, 0.000402, 0.000406, 0.000404, 0.000419, 0.000397, 0.000455, 0.000398, 0.000401, 0.000407, 0.000401, 0.000399, 0.000421, 0.000405, 0.000395, 0.000403, 0.0004, 0.0004, 0.00046, 0.000405, 0.000406, 0.000408, 0.000406, 0.0004, 0.00042, 0.000403, 0.000403, 0.000395, 0.000397, 0.000405, 0.000425, 0.000402, 0.000402, 0.000404, 0.000434, 0.000411, 0.000409, 0.000409, 0.000407, 0.000404, 0.000498, 0.0005, 0.00044, 0.000446, 0.000406, 0.000408, 0.000404, 0.00042, 0.000411, 0.000412, 0.000424, 0.000409, 0.000429, 0.000404, 0.000406, 0.00041, 0.00041, 0.000409, 0.000419, 0.000406, 0.000404, 0.000412, 0.00041, 0.000406, 0.000404, 0.000408, 0.000402, 0.000403, 0.000401, 0.000397, 0.000451, 0.000412, 0.000433, 0.000406, 0.000405, 0.000405, 0.000398, 0.000392, 0.000423, 0.000402, 0.000408, 0.000403, 0.000406, 0.000399, 0.000405, 0.000401, 0.0004, 0.000429, 0.000411, 0.000404, 0.000429, 0.00041, 0.000404, 0.00041, 0.000424, 0.000405, 0.000399, 0.000403, 0.000396, 0.000404, 0.000428, 0.000406, 0.000409, 0.000405, 0.000401, 0.000396, 0.000397, 0.000421, 0.000402, 0.000403, 0.000408, 0.00042, 0.000408, 0.000409, 0.000416, 0.000408, 0.000401, 0.000407, 0.000428, 0.000406, 0.000404, 0.000406, 0.000413, 0.000411, 0.000434, 0.000411, 0.000414, 0.000412, 0.00041, 0.000404, 0.00043, 0.000403, 0.000399, 0.000408, 0.00043, 0.000404, 0.000405, 0.0004, 0.000402, 0.000399, 0.000452]",2026-08-16T18:26:12+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
hmac_sha256,hmac,64-byte input,1 per epoch-root signature check,200,0.0014098650024152448,0.0014035000504009076,3.646953660600944e-05,5.0544199016047e-06,0.0013520000265998533,0.0016280000636470504,"[0.001628, 0.001551, 0.00143, 0.001429, 0.001409, 0.001428, 0.001503, 0.001428, 0.001425, 0.001458, 0.001403, 0.001399, 0.001446, 0.001431, 0.001427, 0.001406, 0.00142, 0.001463, 0.001433, 0.001398, 0.001458, 0.001434, 0.001409, 0.001398, 0.001408, 0.001422, 0.001399, 0.001426, 0.00146, 0.001418, 0.001397, 0.001448, 0.001418, 0.001454, 0.001428, 0.001403, 0.001402, 0.001514, 0.00144, 0.001407, 0.001414, 0.001421, 0.001432, 0.001435, 0.001424, 0.00143, 0.00142, 0.001424, 0.001466, 0.001427, 0.001421, 0.001451, 0.001521, 0.001413, 0.00145, 0.001367, 0.001412, 0.001374, 0.001368, 0.001385, 0.001386, 0.001352, 0.001424, 0.00137, 0.001405, 0.001384, 0.00143, 0.001387, 0.001369, 0.001418, 0.00139, 0.001397, 0.001372, 0.001401, 0.001398, 0.001401, 0.001365, 0.001441, 0.001371, 0.001364, 0.001381, 0.001399, 0.00141, 0.001366, 0.001416, 0.001445, 0.001405, 0.001388, 0.001367, 0.001397, 0.001364, 0.001441, 0.001406, 0.001437, 0.001404, 0.001434, 0.001397, 0.00141, 0.001388, 0.001459, 0.001438, 0.001406, 0.001416, 0.001397, 0.0014, 0.0014, 0.001375, 0.001394, 0.001363, 0.00144, 0.001417, 0.0014, 0.001389, 0.00136, 0.00138, 0.001489, 0.00136, 0.001382, 0.001426, 0.001455, 0.001376, 0.001384, 0.001367, 0.001417, 0.001363, 0.001389, 0.001421, 0.001413, 0.001387, 0.001426, 0.001402, 0.001382, 0.001385, 0.001389, 0.001408, 0.001378, 0.001373, 0.001376, 0.001413, 0.001397, 0.001375, 0.001399, 0.001448, 0.001419, 0.00137, 0.001419, 0.00142, 0.001411, 0.001392, 0.001389, 0.001395, 0.001393, 0.001425, 0.001431, 0.001407, 0.001391, 0.001413, 0.001389, 0.001367, 0.001398, 0.001406, 0.001396, 0.001392, 0.001381, 0.001397, 0.001391, 0.001404, 0.001367, 0.00139, 0.001454, 0.001402, 0.001367, 0.001382, 0.001427, 0.001395, 0.001381, 0.001401, 0.001435, 0.001404, 0.001375, 0.001392, 0.001402, 0.001447, 0.001407, 0.001394, 0.001362, 0.001403, 0.001425, 0.001389, 0.001409, 0.001364, 0.001382, 0.001369, 0.001403, 0.001392, 0.001374, 0.001386, 0.001559, 0.001494, 0.001437]",2026-08-16T18:26:12+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
bitmap_and_100k,python int,"100,000-bit operands, word-parallel",d-1 per conjunctive query,200,0.0018352249946929078,0.0010334999842598336,0.010953160450538952,0.001518030589880077,0.0007080000159476185,0.15595199988638342,"[0.001134, 0.001426, 0.001063, 0.001045, 0.00104, 0.001058, 0.001076, 0.001066, 0.001036, 0.001049, 0.001032, 0.001034, 0.001038, 0.001028, 0.001028, 0.001029, 0.001024, 0.001074, 0.00109, 0.001077, 0.001058, 0.00104, 0.001032, 0.001029, 0.001029, 0.001033, 0.001039, 0.001032, 0.001027, 0.00103, 0.001028, 0.001029, 0.001036, 0.001034, 0.001039, 0.001033, 0.001031, 0.001072, 0.001031, 0.001029, 0.001026, 0.001039, 0.001056, 0.001029, 0.001076, 0.001029, 0.001027, 0.00103, 0.001031, 0.00103, 0.00103, 0.001031, 0.001079, 0.001048, 0.001041, 0.001024, 0.001028, 0.001033, 0.001052, 0.001024, 0.00103, 0.001024, 0.00103, 0.001024, 0.001069, 0.001057, 0.001022, 0.001027, 0.001028, 0.001021, 0.001023, 0.00103, 0.001025, 0.001028, 0.001049, 0.001025, 0.001025, 0.00108, 0.001034, 0.000776, 0.001016, 0.001024, 0.00102, 0.001025, 0.001016, 0.001017, 0.001018, 0.000751, 0.001019, 0.001018, 0.001016, 0.001016, 0.001012, 0.001175, 0.001039, 0.001018, 0.001013, 0.001019, 0.000713, 0.001076, 0.001066, 0.001037, 0.00103, 0.001034, 0.001032, 0.001071, 0.001029, 0.001022, 0.001025, 0.00107, 0.001037, 0.00102, 0.001019, 0.000756, 0.001021, 0.001025, 0.001026, 0.001028, 0.001023, 0.00103, 0.001017, 0.001021, 0.000712, 0.001034, 0.001025, 0.001022, 0.001022, 0.001026, 0.001027, 0.001167, 0.001021, 0.001021, 0.000708, 0.001023, 0.001015, 0.001019, 0.001023, 0.001019, 0.001024, 0.000759, 0.001019, 0.001027, 0.001022, 0.001023, 0.155952, 0.001534, 0.001201, 0.001201, 0.001213, 0.001225, 0.001205, 0.00121, 0.001142, 0.001137, 0.00112, 0.001118, 0.001127, 0.001124, 0.00113, 0.001152, 0.001126, 0.000824, 0.001114, 0.001123, 0.001122, 0.001118, 0.001119, 0.001118, 0.001122, 0.001114, 0.001119, 0.001122, 0.001121, 0.001152, 0.001118, 0.001153, 0.001126, 0.001127, 0.001123, 0.001174, 0.00113, 0.001125, 0.001124, 0.001122, 0.00113, 0.001126, 0.001126, 0.001133, 0.002245, 0.001092, 0.001086, 0.001088, 0.00109, 0.001095, 0.001098, 0.00116, 0.001149, 0.001115, 0.001126, 0.001093]",2026-08-16T18:26:12+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
bitmap_and_popcount_100k,python int,"100,000 bits + popcount",1 per query to size the result set,200,0.30983932500589617,0.30330250001497916,0.015740453522117774,0.0021815155591904663,0.29740199988737004,0.3651370000170573,"[0.309802, 0.30129, 0.299936, 0.3096, 0.303506, 0.303669, 0.303099, 0.311238, 0.302988, 0.304069, 0.358884, 0.311706, 0.310699, 0.320386, 0.305772, 0.303003, 0.310231, 0.303714, 0.30224, 0.310889, 0.301918, 0.302388, 0.309437, 0.360203, 0.341896, 0.301024, 0.309804, 0.302163, 0.301154, 0.314232, 0.301582, 0.301476, 0.309767, 0.302431, 0.302297, 0.328949, 0.350294, 0.327387, 0.308959, 0.300571, 0.301681, 0.300872, 0.31023, 0.309016, 0.309172, 0.316646, 0.309325, 0.307121, 0.344251, 0.30422, 0.300804, 0.307833, 0.300409, 0.300614, 0.300192, 0.30822, 0.301245, 0.300323, 0.308656, 0.300793, 0.300928, 0.321368, 0.342575, 0.335223, 0.308971, 0.300313, 0.300219, 0.300481, 0.308498, 0.301047, 0.300617, 0.307587, 0.30053, 0.300866, 0.337112, 0.347264, 0.334854, 0.305283, 0.297564, 0.297402, 0.304823, 0.298375, 0.297928, 0.298316, 0.309178, 0.299892, 0.299184, 0.339066, 0.300404, 0.300565, 0.307719, 0.299896, 0.300099, 0.300789, 0.307894, 0.300576, 0.300554, 0.308063, 0.300176, 0.299701, 0.341499, 0.349702, 0.30471, 0.308696, 0.299372, 0.299754, 0.308929, 0.324393, 0.325035, 0.32619, 0.308016, 0.29984, 0.301166, 0.345048, 0.301829, 0.299752, 0.308975, 0.299885, 0.299653, 0.306527, 0.300262, 0.299479, 0.299683, 0.30805, 0.300468, 0.299971, 0.352736, 0.347734, 0.317123, 0.311305, 0.300579, 0.300368, 0.308284, 0.299255, 0.299672, 0.307476, 0.299265, 0.299778, 0.299315, 0.355899, 0.355144, 0.299674, 0.308162, 0.299673, 0.299266, 0.306186, 0.300613, 0.299751, 0.307057, 0.299902, 0.300238, 0.302387, 0.361225, 0.34501, 0.29876, 0.306856, 0.29978, 0.299014, 0.307273, 0.300455, 0.298846, 0.30719, 0.299729, 0.29855, 0.305485, 0.365137, 0.35565, 0.321856, 0.299861, 0.29943, 0.298874, 0.308188, 0.307747, 0.306804, 0.315434, 0.307284, 0.303719, 0.329577, 0.308541, 0.299447, 0.308213, 0.299625, 0.299193, 0.300753, 0.306537, 0.29925, 0.300376, 0.306911, 0.297862, 0.299248, 0.330275, 0.348385, 0.335591, 0.306564, 0.29972, 0.298644, 0.299641, 0.306085, 0.298785, 0.298583]",2026-08-16T18:26:12+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
ecelgamal_encrypt,NIST P-256,"lifted, single value",1 per record at ingest,50,1.6920001000016782,1.6921440000032817,0.059167065490780886,0.016400273826724373,1.5593919999901118,1.8083259999457368,"[1.808326, 1.707184, 1.744096, 1.670901, 1.647996, 1.753423, 1.572107, 1.65234, 1.697794, 1.559392, 1.737717, 1.682859, 1.72463, 1.591096, 1.703391, 1.782022, 1.614169, 1.802678, 1.735369, 1.69874, 1.675356, 1.70936, 1.647747, 1.617549, 1.750464, 1.615591, 1.762228, 1.659737, 1.613187, 1.760108, 1.696859, 1.791686, 1.679474, 1.678018, 1.718166, 1.676144, 1.791547, 1.719791, 1.678041, 1.62737, 1.658466, 1.653579, 1.632369, 1.691937, 1.692165, 1.748591, 1.692123, 1.644831, 1.703641, 1.72765]",2026-08-16T18:26:12+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
ecelgamal_add,NIST P-256,homomorphic point addition,r-1 per aggregation,200,0.01290906501481004,0.012267999977666477,0.0015162669699802767,0.00021014388068619764,0.011975999996138853,0.02414100003989006,"[0.012568, 0.013223, 0.012445, 0.012426, 0.013682, 0.012398, 0.012347, 0.012332, 0.012268, 0.012149, 0.012164, 0.012375, 0.011976, 0.0122, 0.012034, 0.012158, 0.01224, 0.012177, 0.012316, 0.012055, 0.012041, 0.012076, 0.012293, 0.012283, 0.012014, 0.012367, 0.012364, 0.012176, 0.01212, 0.012315, 0.012105, 0.012269, 0.012298, 0.012355, 0.012214, 0.012254, 0.012382, 0.012232, 0.012061, 0.012133, 0.012111, 0.012223, 0.012146, 0.012165, 0.012204, 0.013968, 0.020631, 0.015083, 0.024141, 0.015721, 0.014512, 0.014338, 0.014484, 0.014443, 0.01451, 0.014472, 0.014638, 0.014566, 0.014556, 0.014434, 0.0148, 0.01442, 0.014712, 0.014617, 0.012417, 0.012308, 0.012209, 0.014479, 0.014656, 0.0144, 0.01467, 0.014511, 0.014416, 0.0145, 0.014585, 0.014584, 0.014375, 0.014486, 0.01474, 0.014283, 0.014398, 0.0144, 0.01459, 0.014358, 0.014529, 0.014551, 0.014559, 0.014489, 0.014635, 0.01468, 0.014843, 0.014609, 0.014725, 0.014506, 0.015123, 0.012266, 0.01225, 0.012119, 0.012186, 0.012216, 0.01235, 0.012345, 0.012262, 0.01232, 0.012159, 0.01216, 0.012058, 0.012008, 0.012162, 0.01214, 0.012268, 0.012109, 0.012348, 0.012166, 0.012225, 0.012386, 0.012266, 0.01228, 0.01227, 0.011996, 0.012197, 0.021237, 0.012476, 0.012337, 0.012221, 0.012332, 0.012298, 0.012187, 0.012116, 0.0121, 0.012141, 0.012154, 0.01225, 0.012227, 0.012059, 0.012192, 0.012159, 0.012186, 0.012244, 0.012175, 0.012231, 0.011977, 0.012444, 0.012196, 0.012126, 0.012326, 0.012102, 0.012274, 0.012211, 0.01219, 0.012371, 0.012094, 0.01231, 0.012214, 0.012242, 0.012196, 0.012185, 0.012025, 0.012133, 0.012177, 0.012325, 0.012343, 0.012197, 0.012342, 0.012074, 0.012147, 0.012208, 0.012016, 0.012273, 0.012289, 0.012188, 0.01211, 0.012215, 0.01229, 0.012292, 0.012247, 0.012332, 0.012071, 0.012054, 0.012144, 0.012231, 0.012157, 0.012137, 0.012143, 0.012196, 0.012162, 0.012315, 0.012268, 0.012128, 0.012124, 0.012105, 0.012031, 0.012332, 0.012228, 0.012162, 0.01291, 0.01227, 0.012327, 0.012159, 0.01225]",2026-08-16T18:26:12+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
